question_idx,question,answer,context,title,keyword,article_url
drug_8887,Sử dụng Comiaryl với Cimetidin thì có tác dụng gì?,"Sử dụng Comiaryl với Cimetidin thì làm tăng nồng độ đỉnh của metformin trong máu, từ đó làm tăng độc tính của Metformin.","- Furosemid làm tăng nồng độ trong máu của thuốc metformin, do đó làm tăng tác dụng hạ đường huyết của metformin.
- Các thuốc Cationic tương tác với metformin theo cơ chế cạnh tranh ở hệ thống vận chuyển ở ống thận: Amilorid, Digoxin, Morphin, Procainamid, Quinidin, Ranitidin, Triamteren, Trimethoprim, Vancomycin. Cimetidin làm tăng nồng độ đỉnh của metformin trong máu (60%). Do đó gây tích lũy metformin. Từ đó làm tăng độc tính của Metformin. ví vậy, tránh sử dụng phối hợp Comiaryl với những thuốc trên.",Tương tác thuốc - Đối với hoạt chất metformin hydroclorid,Comiaryl,https://youmed.vn/tin-tuc/comiaryl/
drug_3887,Thuốc atorvastatin có tác dụng hỗ trợ điều trị những bệnh gì?,Thuốc atorvastatin có tác dụng hỗ trợ điều trị tình trạng tăng cholesterol máu của bệnh nhân đái tháo đường.,Atorvastatin giúp giảm nồng độ các lipid “xấu” trong máu. Từ đó giúp dự phòng nguy cơ tai biến mạch vành ở người bệnh đái tháo đường tăng cholesterol máu.,"Thuốc atorvastatin (Lipitor, Atovast) được chỉ định để điều trị bệnh gì? - Dự phòng tai biến tim mạch ở người bệnh đái tháo đường",Atorvastatin,https://youmed.vn/tin-tuc/thuoc-atorvastatin-lipitor-atovast/
drug_8886,Sử dụng Comiaryl với những thuốc nào thì cần tránh?,"Tránh sử dụng phối hợp Comiaryl với những thuốc sau: Amilorid, Digoxin, Morphin, Procainamid, Quinidin, Ranitidin, Triamteren, Trimethoprim, Vancomycin.","- Furosemid làm tăng nồng độ trong máu của thuốc metformin, do đó làm tăng tác dụng hạ đường huyết của metformin.
- Các thuốc Cationic tương tác với metformin theo cơ chế cạnh tranh ở hệ thống vận chuyển ở ống thận: Amilorid, Digoxin, Morphin, Procainamid, Quinidin, Ranitidin, Triamteren, Trimethoprim, Vancomycin. Cimetidin làm tăng nồng độ đỉnh của metformin trong máu (60%). Do đó gây tích lũy metformin. Từ đó làm tăng độc tính của Metformin. ví vậy, tránh sử dụng phối hợp Comiaryl với những thuốc trên.",Tương tác thuốc - Đối với hoạt chất metformin hydroclorid,Comiaryl,https://youmed.vn/tin-tuc/comiaryl/
drug_3888,Mục đích của việc sử dụng thuốc atorvastatin trong điều trị tình trạng tăng cholesterol máu của bệnh nhân đái tháo đường là gì?,Thuốc atorvastatin có tác dụng làm giảm nồng độ các lipid “xấu” trong máu. Từ đó giúp dự phòng nguy cơ mắc bệnh tim mạch ở người bệnh tiểu đường tăng cholesterol máu.,Atorvastatin giúp giảm nồng độ các lipid “xấu” trong máu. Từ đó giúp dự phòng nguy cơ tai biến mạch vành ở người bệnh đái tháo đường tăng cholesterol máu.,"Thuốc atorvastatin (Lipitor, Atovast) được chỉ định để điều trị bệnh gì? - Dự phòng tai biến tim mạch ở người bệnh đái tháo đường",Atorvastatin,https://youmed.vn/tin-tuc/thuoc-atorvastatin-lipitor-atovast/
drug_3886,Thuốc atorvastatin có tác dụng gì?,"Thuốc atorvastatin giúp làm giảm nồng độ lipid ""xấu"" trong máu.",Atorvastatin giúp giảm nồng độ các lipid “xấu” trong máu. Từ đó giúp dự phòng nguy cơ tai biến mạch vành ở người bệnh đái tháo đường tăng cholesterol máu.,"Thuốc atorvastatin (Lipitor, Atovast) được chỉ định để điều trị bệnh gì? - Dự phòng tai biến tim mạch ở người bệnh đái tháo đường",Atorvastatin,https://youmed.vn/tin-tuc/thuoc-atorvastatin-lipitor-atovast/
drug_8885,Comiaryl tương tác thuốc theo cơ chế nào?,Comiaryl tương tác theo cơ chế cạnh tranh ở hệ thống vận chuyển ở ống thận.,"- Furosemid làm tăng nồng độ trong máu của thuốc metformin, do đó làm tăng tác dụng hạ đường huyết của metformin.
- Các thuốc Cationic tương tác với metformin theo cơ chế cạnh tranh ở hệ thống vận chuyển ở ống thận: Amilorid, Digoxin, Morphin, Procainamid, Quinidin, Ranitidin, Triamteren, Trimethoprim, Vancomycin. Cimetidin làm tăng nồng độ đỉnh của metformin trong máu (60%). Do đó gây tích lũy metformin. Từ đó làm tăng độc tính của Metformin. ví vậy, tránh sử dụng phối hợp Comiaryl với những thuốc trên.",Tương tác thuốc - Đối với hoạt chất metformin hydroclorid,Comiaryl,https://youmed.vn/tin-tuc/comiaryl/
medicine_1845,Càng cua hỗ trợ điều trị đái tháo đường như thế nào?,Càng cua giúp hỗ trợ điều trị đái tháo đường bằng cách làm giảm lượng đường trong máu.,"Rau Càng cua 100g rửa sạch bóp giấm (có thể dùng chanh), ếch 1 con (100g), lột da, làm sạch bỏ đầu, lấy thịt tẩm bột, rán chín vàng. Tất cả trộn đều, ăn tuần 2-3 lần",Một số cách sử dụng vị thuốc - Hỗ trợ điều trị đái tháo đường,Càng cua,https://youmed.vn/tin-tuc/cang-cua-loai-rau-quen-thuoc-loi-hay-hai/
medicine_4846,Những kết quả khác liên quan đến tác dụng tích cực của hoa đậu biếc đối với tình trạng đái tháo đường là gì?,"Hoa đậu biếc còn đem lại nhiều kết quả khả quan khác cho bệnh nhân đái tháo đường, bao gồm giảm chỉ số HbA1c, tăng hoạt động glycogen ở gan, cơ và các enzym đường phân.","Theo nhiều nghiên cứu chứng minh, hoa đậu biếc có khả năng hỗ trợ kiểm soát lượng đường trong máu. Các nhà khoa học đã phát hiện tác động tích cực của chúng với bệnh nhân đái tháo đường như: - Kích thích tuyến tụy sản sinh insulin – chất giúp kiểm soát lượng đường trong máu, tăng insulin huyết thanh.
- Ngăn cản sự hấp thụ glucose từ thực phẩm.
- Hạn chế nguy cơ biến chứng do bệnh đái tháo đường gây ra.
- Ngoài ra, một số các kết quả khả quan khác được ghi nhận như giảm chỉ số HbA1c, tăng hoạt động glycogen ở gan, cơ và các enzym đường phân…",Hoa đậu biếc có tác dụng gì? - Thân thiện với người mắc bệnh đái tháo đường,Hoa đậu biếc,https://youmed.vn/tin-tuc/hoa-dau-biec-co-tac-dung-gi/
medicine_13723,"Theo một số nghiên cứu gần đây, tác dụng dược lý của hoa đậu biếc ở người là gì?","Theo một số nghiên cứu gần đây, hoa đậu biếc có tác dụng giúp lượng đường huyết giảm, hơn nữa, tăng cường khả năng chống oxy hóa.","Theo một số nghiên cứu gần đây, các chiết xuất từ ​​lá đậu biếc đã cho thấy tiềm năng sử dụng như một loại thuốc chống đái tháo đường. Những con chuột Wistar trong thử nghiệm có mức đường huyết, insulin, hemoglobin glycosyl hóa, ure và creatinin thấp hơn đáng kể so với chuột đái tháo đường. Hơn nữa, chỉ số men gan (glutamate oxalate transaminase – GOT trong huyết thanh, glutamate pyruvate transaminase – GPT trong huyết thanh, lactate dehydrogenase LDH và alkaline phosphatase ALP) ở chuột được điều trị thấp hơn so với chuột đái tháo đường; và tương đương với chuột bình thường. Nhiều nghiên cứu gần đây đã tập trung vào tác động của hoa đậu biếc ở người cho thấy hoa giúp lượng đường huyết giảm, hơn nữa, tăng cường khả năng chống oxy hóa.",Tác dụng dược lý theo Y học hiện đại - Ngăn ngừa đái tháo đường,Đậu biếc,https://youmed.vn/tin-tuc/dau-biec/
medicine_13367,Đan sâm có những tác dụng dược lý nào?,"Đan sâm có các tác dụng dược lý như cải thiện cân bằng nội môi oxy hóa khử, ức chế quá trình apoptosis và viêm, điều trị các bệnh mạch máu lớn và nhỏ.","Đan sâm thể hiện các hoạt động chống bệnh tiểu đường bằng cách điều trị các bệnh mạch máu lớn và nhỏ trong các thí nghiệm tiền lâm sàng và thử nghiệm lâm sàng thông qua việc cải thiện cân bằng nội môi oxy hóa khử và ức chế quá trình apoptosis và viêm thông qua điều chỉnh nhiều kênh tín hiệu trong cơ thể. Tác dụng chống đái tháo đường của loại thảo mộc này có thể liên quan đến các đặc tính cải thiện lưu thông máu và làm giảm ứ trệ máu theo Y học cổ truyền. Các thành phần chính của Đan sâm bao gồm axit salvianolic và tanshinones diterpenoid, đã được nghiên cứu kỹ trên động vật bị tiểu đường. Các nghiên cứu về độc tính cấp và bán cấp đã ủng hộ quan điểm rằng Đan sâm được dung nạp tốt.",Tác dụng dược lý Đan sâm - 5 Chống đái tháo đường,Đan sâm,https://youmed.vn/tin-tuc/dan-sam-vi-thuoc-lam-tan-huyet-u/
